[epoch:5, iter:1865] Loss: 1.081 | Acc: 61.599% 
[epoch:5, iter:1885] Loss: 1.084 | Acc: 61.512% 
[epoch:5, iter:1905] Loss: 1.081 | Acc: 61.639% 
[epoch:5, iter:1925] Loss: 1.079 | Acc: 61.738% 
[epoch:5, iter:1945] Loss: 1.076 | Acc: 61.840% 
[epoch:6, iter:1956] Loss: 0.942 | Acc: 65.625% 
[epoch:6, iter:1976] Loss: 1.004 | Acc: 64.025% 
[epoch:6, iter:1996] Loss: 1.014 | Acc: 63.815% 
[epoch:6, iter:2016] Loss: 1.013 | Acc: 63.806% 
[epoch:6, iter:2036] Loss: 1.016 | Acc: 63.677% 
[epoch:6, iter:2056] Loss: 1.016 | Acc: 63.823% 
[epoch:6, iter:2076] Loss: 1.018 | Acc: 63.785% 
[epoch:6, iter:2096] Loss: 1.024 | Acc: 63.686% 
[epoch:6, iter:2116] Loss: 1.021 | Acc: 63.665% 
[epoch:6, iter:2136] Loss: 1.018 | Acc: 63.829% 
[epoch:6, iter:2156] Loss: 1.016 | Acc: 63.903% 
[epoch:6, iter:2176] Loss: 1.012 | Acc: 64.105% 
[epoch:6, iter:2196] Loss: 1.011 | Acc: 64.157% 
[epoch:6, iter:2216] Loss: 1.010 | Acc: 64.224% 
[epoch:6, iter:2236] Loss: 1.006 | Acc: 64.324% 
[epoch:6, iter:2256] Loss: 1.007 | Acc: 64.244% 
[epoch:6, iter:2276] Loss: 1.006 | Acc: 64.272% 
[epoch:6, iter:2296] Loss: 1.005 | Acc: 64.353% 
[epoch:6, iter:2316] Loss: 1.004 | Acc: 64.365% 
[epoch:6, iter:2336] Loss: 1.001 | Acc: 64.499% 
[epoch:7, iter:2347] Loss: 0.876 | Acc: 67.188% 
[epoch:7, iter:2367] Loss: 0.934 | Acc: 67.113% 
[epoch:7, iter:2387] Loss: 0.955 | Acc: 66.235% 
[epoch:7, iter:2407] Loss: 0.958 | Acc: 66.291% 
[epoch:7, iter:2427] Loss: 0.959 | Acc: 66.098% 
[epoch:7, iter:2447] Loss: 0.961 | Acc: 66.058% 
[epoch:7, iter:2467] Loss: 0.958 | Acc: 66.180% 
[epoch:7, iter:2487] Loss: 0.961 | Acc: 66.262% 
[epoch:7, iter:2507] Loss: 0.957 | Acc: 66.392% 
[epoch:7, iter:2527] Loss: 0.957 | Acc: 66.449% 
[epoch:7, iter:2547] Loss: 0.956 | Acc: 66.492% 
[epoch:7, iter:2567] Loss: 0.956 | Acc: 66.427% 
[epoch:7, iter:2587] Loss: 0.959 | Acc: 66.361% 
[epoch:7, iter:2607] Loss: 0.957 | Acc: 66.337% 
[epoch:7, iter:2627] Loss: 0.951 | Acc: 66.470% 
[epoch:7, iter:2647] Loss: 0.948 | Acc: 66.518% 
[epoch:7, iter:2667] Loss: 0.949 | Acc: 66.499% 
[epoch:7, iter:2687] Loss: 0.947 | Acc: 66.530% 
[epoch:7, iter:2707] Loss: 0.943 | Acc: 66.707% 
[epoch:7, iter:2727] Loss: 0.944 | Acc: 66.675% 
[epoch:8, iter:2738] Loss: 0.960 | Acc: 66.406% 
[epoch:8, iter:2758] Loss: 0.870 | Acc: 69.829% 
[epoch:8, iter:2778] Loss: 0.871 | Acc: 70.046% 
[epoch:8, iter:2798] Loss: 0.865 | Acc: 70.172% 
[epoch:8, iter:2818] Loss: 0.879 | Acc: 69.522% 
[epoch:8, iter:2838] Loss: 0.896 | Acc: 68.974% 
[epoch:8, iter:2858] Loss: 0.906 | Acc: 68.608% 
[epoch:8, iter:2878] Loss: 0.909 | Acc: 68.523% 
[epoch:8, iter:2898] Loss: 0.906 | Acc: 68.556% 
[epoch:8, iter:2918] Loss: 0.906 | Acc: 68.487% 
[epoch:8, iter:2938] Loss: 0.907 | Acc: 68.408% 
[epoch:8, iter:2958] Loss: 0.906 | Acc: 68.435% 
[epoch:8, iter:2978] Loss: 0.907 | Acc: 68.342% 
[epoch:8, iter:2998] Loss: 0.907 | Acc: 68.364% 
[epoch:8, iter:3018] Loss: 0.907 | Acc: 68.400% 
[epoch:8, iter:3038] Loss: 0.905 | Acc: 68.519% 
[epoch:8, iter:3058] Loss: 0.903 | Acc: 68.626% 
[epoch:8, iter:3078] Loss: 0.903 | Acc: 68.631% 
[epoch:8, iter:3098] Loss: 0.902 | Acc: 68.676% 
[epoch:8, iter:3118] Loss: 0.902 | Acc: 68.680% 
[epoch:9, iter:3129] Loss: 0.751 | Acc: 74.219% 
[epoch:9, iter:3149] Loss: 0.826 | Acc: 71.243% 
[epoch:9, iter:3169] Loss: 0.831 | Acc: 71.113% 
[epoch:9, iter:3189] Loss: 0.846 | Acc: 70.710% 
[epoch:9, iter:3209] Loss: 0.854 | Acc: 70.370% 
[epoch:9, iter:3229] Loss: 0.868 | Acc: 69.864% 
[epoch:9, iter:3249] Loss: 0.870 | Acc: 69.886% 
[epoch:9, iter:3269] Loss: 0.868 | Acc: 69.936% 
[epoch:9, iter:3289] Loss: 0.869 | Acc: 69.832% 
[epoch:9, iter:3309] Loss: 0.863 | Acc: 69.959% 
[epoch:9, iter:3329] Loss: 0.869 | Acc: 69.749% 
[epoch:9, iter:3349] Loss: 0.872 | Acc: 69.659% 
[epoch:9, iter:3369] Loss: 0.870 | Acc: 69.745% 
[epoch:9, iter:3389] Loss: 0.870 | Acc: 69.681% 
[epoch:9, iter:3409] Loss: 0.872 | Acc: 69.584% 
[epoch:9, iter:3429] Loss: 0.872 | Acc: 69.630% 
[epoch:9, iter:3449] Loss: 0.871 | Acc: 69.682% 
[epoch:9, iter:3469] Loss: 0.870 | Acc: 69.698% 
[epoch:9, iter:3489] Loss: 0.872 | Acc: 69.644% 
[epoch:9, iter:3509] Loss: 0.873 | Acc: 69.574% 
[epoch:10, iter:3520] Loss: 0.801 | Acc: 75.781% 
[epoch:10, iter:3540] Loss: 0.801 | Acc: 72.098% 
[epoch:10, iter:3560] Loss: 0.833 | Acc: 70.865% 
[epoch:10, iter:3580] Loss: 0.834 | Acc: 71.311% 
[epoch:10, iter:3600] Loss: 0.839 | Acc: 71.238% 
[epoch:10, iter:3620] Loss: 0.839 | Acc: 71.063% 
[epoch:10, iter:3640] Loss: 0.840 | Acc: 71.055% 
[epoch:10, iter:3660] Loss: 0.848 | Acc: 70.678% 
[epoch:10, iter:3680] Loss: 0.850 | Acc: 70.468% 
[epoch:10, iter:3700] Loss: 0.850 | Acc: 70.584% 
[epoch:10, iter:3720] Loss: 0.847 | Acc: 70.791% 
[epoch:10, iter:3740] Loss: 0.847 | Acc: 70.818% 
[epoch:10, iter:3760] Loss: 0.846 | Acc: 70.831% 
[epoch:10, iter:3780] Loss: 0.848 | Acc: 70.732% 
[epoch:10, iter:3800] Loss: 0.846 | Acc: 70.827% 
[epoch:10, iter:3820] Loss: 0.847 | Acc: 70.759% 
[epoch:10, iter:3840] Loss: 0.848 | Acc: 70.724% 
[epoch:10, iter:3860] Loss: 0.847 | Acc: 70.782% 
[epoch:10, iter:3880] Loss: 0.845 | Acc: 70.823% 
[epoch:10, iter:3900] Loss: 0.845 | Acc: 70.760% 
[epoch:11, iter:3911] Loss: 0.808 | Acc: 69.531% 
[epoch:11, iter:3931] Loss: 0.794 | Acc: 72.470% 
[epoch:11, iter:3951] Loss: 0.793 | Acc: 72.675% 
[epoch:11, iter:3971] Loss: 0.814 | Acc: 71.926% 
[epoch:11, iter:3991] Loss: 0.808 | Acc: 72.145% 
[epoch:11, iter:4011] Loss: 0.801 | Acc: 72.386% 
[epoch:11, iter:4031] Loss: 0.807 | Acc: 72.011% 
[epoch:11, iter:4051] Loss: 0.806 | Acc: 72.063% 
[epoch:11, iter:4071] Loss: 0.805 | Acc: 72.084% 
[epoch:11, iter:4091] Loss: 0.810 | Acc: 71.918% 
[epoch:11, iter:4111] Loss: 0.813 | Acc: 71.902% 
[epoch:11, iter:4131] Loss: 0.816 | Acc: 71.854% 
[epoch:11, iter:4151] Loss: 0.816 | Acc: 71.820% 
[epoch:11, iter:4171] Loss: 0.816 | Acc: 71.845% 
[epoch:11, iter:4191] Loss: 0.813 | Acc: 71.967% 
[epoch:11, iter:4211] Loss: 0.814 | Acc: 71.942% 
[epoch:11, iter:4231] Loss: 0.817 | Acc: 71.894% 
[epoch:11, iter:4251] Loss: 0.816 | Acc: 71.902% 
[epoch:11, iter:4271] Loss: 0.817 | Acc: 71.856% 
[epoch:11, iter:4291] Loss: 0.816 | Acc: 71.883% 
[epoch:12, iter:4302] Loss: 0.952 | Acc: 65.625% 
[epoch:12, iter:4322] Loss: 0.768 | Acc: 73.326% 
[epoch:12, iter:4342] Loss: 0.796 | Acc: 72.389% 
[epoch:12, iter:4362] Loss: 0.819 | Acc: 71.670% 
[epoch:12, iter:4382] Loss: 0.802 | Acc: 72.396% 
[epoch:12, iter:4402] Loss: 0.808 | Acc: 72.169% 
[epoch:12, iter:4422] Loss: 0.808 | Acc: 72.082% 
[epoch:12, iter:4442] Loss: 0.811 | Acc: 71.953% 
[epoch:12, iter:4462] Loss: 0.811 | Acc: 71.880% 
[epoch:12, iter:4482] Loss: 0.811 | Acc: 71.823% 
[epoch:12, iter:4502] Loss: 0.808 | Acc: 71.902% 
[epoch:12, iter:4522] Loss: 0.807 | Acc: 71.988% 
[epoch:12, iter:4542] Loss: 0.812 | Acc: 71.839% 
[epoch:12, iter:4562] Loss: 0.808 | Acc: 71.962% 
[epoch:12, iter:4582] Loss: 0.813 | Acc: 71.767% 
[epoch:12, iter:4602] Loss: 0.811 | Acc: 71.888% 
[epoch:12, iter:4622] Loss: 0.808 | Acc: 72.033% 
[epoch:12, iter:4642] Loss: 0.805 | Acc: 72.180% 
[epoch:12, iter:4662] Loss: 0.803 | Acc: 72.234% 
[epoch:12, iter:4682] Loss: 0.805 | Acc: 72.170% 
[epoch:13, iter:4693] Loss: 0.706 | Acc: 78.125% 
[epoch:13, iter:4713] Loss: 0.726 | Acc: 75.000% 
[epoch:13, iter:4733] Loss: 0.750 | Acc: 74.390% 
[epoch:13, iter:4753] Loss: 0.747 | Acc: 74.488% 
[epoch:13, iter:4773] Loss: 0.752 | Acc: 74.199% 
[epoch:13, iter:4793] Loss: 0.764 | Acc: 73.631% 
[epoch:13, iter:4813] Loss: 0.775 | Acc: 73.257% 
[epoch:13, iter:4833] Loss: 0.779 | Acc: 73.105% 
[epoch:13, iter:4853] Loss: 0.774 | Acc: 73.190% 
[epoch:13, iter:4873] Loss: 0.776 | Acc: 73.157% 
[epoch:13, iter:4893] Loss: 0.777 | Acc: 73.111% 
[epoch:13, iter:4913] Loss: 0.782 | Acc: 72.957% 
[epoch:13, iter:4933] Loss: 0.783 | Acc: 72.890% 
[epoch:13, iter:4953] Loss: 0.787 | Acc: 72.767% 
[epoch:13, iter:4973] Loss: 0.789 | Acc: 72.698% 
[epoch:13, iter:4993] Loss: 0.785 | Acc: 72.822% 
[epoch:13, iter:5013] Loss: 0.786 | Acc: 72.824% 
[epoch:13, iter:5033] Loss: 0.788 | Acc: 72.736% 
