[epoch:3, iter:1865] Loss: 1.589 | Acc: 41.762% 
[epoch:3, iter:1885] Loss: 1.587 | Acc: 41.959% 
[epoch:3, iter:1905] Loss: 1.587 | Acc: 42.045% 
[epoch:3, iter:1925] Loss: 1.588 | Acc: 42.062% 
[epoch:3, iter:1945] Loss: 1.588 | Acc: 42.064% 
[epoch:3, iter:1965] Loss: 1.589 | Acc: 42.102% 
[epoch:3, iter:1985] Loss: 1.587 | Acc: 42.199% 
[epoch:3, iter:2005] Loss: 1.586 | Acc: 42.219% 
[epoch:3, iter:2025] Loss: 1.584 | Acc: 42.306% 
[epoch:3, iter:2045] Loss: 1.581 | Acc: 42.477% 
[epoch:3, iter:2065] Loss: 1.579 | Acc: 42.515% 
[epoch:3, iter:2085] Loss: 1.577 | Acc: 42.667% 
[epoch:3, iter:2105] Loss: 1.575 | Acc: 42.670% 
[epoch:3, iter:2125] Loss: 1.573 | Acc: 42.745% 
[epoch:3, iter:2145] Loss: 1.571 | Acc: 42.790% 
[epoch:3, iter:2165] Loss: 1.569 | Acc: 42.874% 
[epoch:3, iter:2185] Loss: 1.567 | Acc: 42.945% 
[epoch:3, iter:2205] Loss: 1.565 | Acc: 43.014% 
[epoch:3, iter:2225] Loss: 1.563 | Acc: 43.074% 
[epoch:3, iter:2245] Loss: 1.561 | Acc: 43.108% 
[epoch:3, iter:2265] Loss: 1.560 | Acc: 43.211% 
[epoch:3, iter:2285] Loss: 1.557 | Acc: 43.382% 
[epoch:3, iter:2305] Loss: 1.554 | Acc: 43.486% 
[epoch:3, iter:2325] Loss: 1.551 | Acc: 43.633% 
[epoch:3, iter:2345] Loss: 1.551 | Acc: 43.638% 
[epoch:4, iter:2347] Loss: 1.542 | Acc: 51.562% 
[epoch:4, iter:2367] Loss: 1.449 | Acc: 48.438% 
[epoch:4, iter:2387] Loss: 1.466 | Acc: 47.409% 
[epoch:4, iter:2407] Loss: 1.475 | Acc: 47.285% 
[epoch:4, iter:2427] Loss: 1.465 | Acc: 47.685% 
[epoch:4, iter:2447] Loss: 1.468 | Acc: 47.277% 
[epoch:4, iter:2467] Loss: 1.464 | Acc: 47.495% 
[epoch:4, iter:2487] Loss: 1.464 | Acc: 47.529% 
[epoch:4, iter:2507] Loss: 1.466 | Acc: 47.263% 
[epoch:4, iter:2527] Loss: 1.459 | Acc: 47.522% 
[epoch:4, iter:2547] Loss: 1.465 | Acc: 47.295% 
[epoch:4, iter:2567] Loss: 1.463 | Acc: 47.476% 
[epoch:4, iter:2587] Loss: 1.463 | Acc: 47.355% 
[epoch:4, iter:2607] Loss: 1.460 | Acc: 47.510% 
[epoch:4, iter:2627] Loss: 1.457 | Acc: 47.826% 
[epoch:4, iter:2647] Loss: 1.460 | Acc: 47.747% 
[epoch:4, iter:2667] Loss: 1.457 | Acc: 47.771% 
[epoch:4, iter:2687] Loss: 1.458 | Acc: 47.727% 
[epoch:4, iter:2707] Loss: 1.460 | Acc: 47.550% 
[epoch:4, iter:2727] Loss: 1.457 | Acc: 47.736% 
[epoch:4, iter:2747] Loss: 1.453 | Acc: 47.939% 
[epoch:4, iter:2767] Loss: 1.452 | Acc: 47.936% 
[epoch:4, iter:2787] Loss: 1.450 | Acc: 48.009% 
[epoch:4, iter:2807] Loss: 1.448 | Acc: 47.980% 
[epoch:4, iter:2827] Loss: 1.445 | Acc: 48.126% 
[epoch:4, iter:2847] Loss: 1.441 | Acc: 48.275% 
[epoch:4, iter:2867] Loss: 1.438 | Acc: 48.461% 
[epoch:4, iter:2887] Loss: 1.436 | Acc: 48.487% 
[epoch:4, iter:2907] Loss: 1.434 | Acc: 48.541% 
[epoch:4, iter:2927] Loss: 1.432 | Acc: 48.634% 
[epoch:4, iter:2947] Loss: 1.432 | Acc: 48.619% 
[epoch:4, iter:2967] Loss: 1.431 | Acc: 48.654% 
[epoch:4, iter:2987] Loss: 1.431 | Acc: 48.640% 
[epoch:4, iter:3007] Loss: 1.430 | Acc: 48.719% 
[epoch:4, iter:3027] Loss: 1.427 | Acc: 48.837% 
